study,Author,Year.publication,Journal,Title,Author.Affiliation,Country,Continent,Developed,Development,Latitude,Publisher,Study.type,In.seufert,In.Badgley,obs,Crop.species,Crop.type,Duration.of.study,Research.project,Study.site,Y_coord,X_coord,year_conv,year_org,Study.Comment,DataThief.used,Perennial,Legume,Comparability.of.system,Drought,Time.since.conversion,Conv.system.type,Org.system.type,Conv.yield.comparability,BMP,Multi.crop,Rotations,non.food.rotation,Org.fertilizer.type,Green.manure.org,Animal.manure.org,N.input,N.inputs.include.all.inputs,Org.N.input.kg.N.ha.1,Conv.N.input.kg.N.ha.1,Org.P.input.kg.P.ha.1,Conv.P.input.kg.P.ha.1,Irrigation,Tillage,GDD,Moisture,Soil.carbon,Soil.pH,Soil.pH.source,Yield.unit,Data.location.1,mean.conv,sd.conv,n.conv,mean.org,sd.org,n.organic,lnR,varlnR,conv_treatment,notes,organic_treatment,between_yr_var,mult_yrs,duplicate_trt_dat,in_original,P.input
study1,Appireddy et al.,2008,"Archives of Agronomy and Soil Science 54(2), 127-137",Effect of organic manures and integrated nutrient management on yield potential of bell pepper (Capsicum Annuum) Varieties and on soil properties,Vivekananda Institute of Hill Agriculture,India,Asia,no,medium,subtropical,journal,experimental,yes,no,1,pepper,vegetables,very short,"Almora 2005,2006","Hawalbagh, Uttarakhand, Indian Himalayas",29.6,79.67,2005 to 2006,2006 to 2006,Aishwarya variety,no,annual,non-legume,comparable,no,recent,low input,org stand,higher,no,both mono,no,no,mix,no,yes,similar,yes,190,195,84,64,yes,NA,high,high,high,neutral,paper,Mg/ha,Tab. 2,24.1,0.62,2,20.9,5.04,2,-0.142462682,0.029407175,Aishwarya variety,two years of data but no spatial SD,Aishwarya variety,0,1,no,y,more org
study1,Appireddy et al.,2008,"Archives of Agronomy and Soil Science 54(2), 127-137",Effect of organic manures and integrated nutrient management on yield potential of bell pepper (Capsicum Annuum) Varieties and on soil properties,Vivekananda Institute of Hill Agriculture,India,Asia,no,medium,subtropical,journal,experimental,yes,no,2,pepper,vegetables,very short,"Almora 2005,2006","Hawalbagh, Uttarakhand, Indian Himalayas",29.6,79.67,2005 to 2006,2006 to 2006,Bharat variety,no,annual,non-legume,comparable,no,recent,low input,org stand,higher,no,both mono,no,no,mix,no,yes,similar,yes,190,195,84,64,yes,NA,high,high,high,neutral,paper,Mg/ha,Tab. 2,24.15,4.5,2,18.41,2.11,2,-0.271390385,0.023928354,Bharat variety,two years of data but no spatial SD,Bharat variety,0,2,no,y,more org
study1,Appireddy et al.,2008,"Archives of Agronomy and Soil Science 54(2), 127-137",Effect of organic manures and integrated nutrient management on yield potential of bell pepper (Capsicum Annuum) Varieties and on soil properties,Vivekananda Institute of Hill Agriculture,India,Asia,no,medium,subtropical,journal,experimental,yes,no,3,pepper,vegetables,very short,"Almora 2005,2006","Hawalbagh, Uttarakhand, Indian Himalayas",29.6,79.67,2005 to 2006,2006 to 2006,c-S & C-S-O/A,no,annual,non-legume,comparable,no,recent,low input,org stand,higher,no,both mono,no,no,mix,no,yes,similar,yes,190,195,84,64,yes,NA,high,high,high,neutral,paper,Mg/ha,Tab. 2,24.95,0.49,2,18.55,1.56,2,-0.296404033,0.003729006,c-S and C-S-O-A,two years of data but no spatial SD,c-S and C-S-O-A,0,3,no,y,more org
study1,Appireddy et al.,2008,"Archives of Agronomy and Soil Science 54(2), 127-137",Effect of organic manures and integrated nutrient management on yield potential of bell pepper (Capsicum Annuum) Varieties and on soil properties,Vivekananda Institute of Hill Agriculture,India,Asia,no,medium,subtropical,journal,experimental,yes,no,4,pepper,vegetables,very short,"Almora 2005,2006","Hawalbagh, Uttarakhand, Indian Himalayas",29.6,79.67,2005 to 2006,2006 to 2006,Indra variety,no,annual,non-legume,comparable,no,recent,low input,org stand,higher,no,both mono,no,no,mix,no,yes,similar,yes,190,195,84,64,yes,NA,high,high,high,neutral,paper,Mg/ha,Tab. 2,23.19,2,2,19.48,2.04,2,-0.174332853,0.009202452,Indra variety,two years of data but no spatial SD,Indra variety,0,4,no,y,more org
study1,Appireddy et al.,2008,"Archives of Agronomy and Soil Science 54(2), 127-137",Effect of organic manures and integrated nutrient management on yield potential of bell pepper (Capsicum Annuum) Varieties and on soil properties,Vivekananda Institute of Hill Agriculture,India,Asia,no,medium,subtropical,journal,experimental,yes,no,5,pepper,vegetables,very short,"Almora 2005,2006","Hawalbagh, Uttarakhand, Indian Himalayas",29.6,79.67,2005 to 2006,2006 to 2006,US Agri 181 variety,no,annual,non-legume,comparable,no,recent,low input,org stand,higher,no,both mono,no,no,mix,no,yes,similar,yes,190,195,84,64,yes,NA,high,high,high,neutral,paper,Mg/ha,Tab. 2,32.29,3.87,2,23.15,2.61,2,-0.332762804,0.013537663,US Agri 181 variety,two years of data but no spatial SD,US Agri 181 variety,0,6,no,y,more org
study10,Clark et al.,1999,"American Journal of Alternative Agriculture 14(3), 109-121","Crop-yield and economic comparisons of organic, low-input, and conventional farming systems in California's Sacramento valley","Sustainable Agriculture Farming Systems Project, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,159,maize,cereals,medium,SAFS UC Davis; 1989-1996,Russell Ranch; near Davis; California,38.53,-121.78,1996,1996,org & conv 4,yes,annual,non-legume,comparable,no,NA,commercial,certified,comparable,yes,org multi-crop,similar,yes org,mix,yes,yes,more conv,yes,87.5,145,NA,NA,yes,NA,high,high,high,neutral,dataset,kg/ha,Fig. 3,10713.56,422.6,3,6900.15,822.39,3,-0.439967078,0.005253616,conv,data provided by author; but missing 1989-1993 used in Seufert,org,1,1,no,NA,NA
study10,Clark et al.,1999,"American Journal of Alternative Agriculture 14(3), 109-121","Crop-yield and economic comparisons of organic, low-input, and conventional farming systems in California's Sacramento valley","Sustainable Agriculture Farming Systems Project, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,163,tomato,fruit,medium,SAFS UC Davis; 1989-1996,Russell Ranch; near Davis; California,38.53,-121.78,1995,1995,org & conv 4,yes,annual,non-legume,comparable,no,NA,commercial,certified,comparable,yes,org multi-crop,similar,yes org,mix,yes,yes,more conv,yes,87.5,145,NA,NA,yes,NA,high,high,high,neutral,dataset,t/ha,Fig. 3,12.98,3.03,3,31.19,2.22,3,0.876687819,0.019852836,conv 4,data provided by author; but missing 1989-1993 used in Seufert,org,1,,no,NA,NA
study10,Clark et al.,1999,"American Journal of Alternative Agriculture 14(3), 109-121","Crop-yield and economic comparisons of organic, low-input, and conventional farming systems in California's Sacramento valley","Sustainable Agriculture Farming Systems Project, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,158,maize,cereals,medium,SAFS UC Davis; 1989-1996,Russell Ranch; near Davis; California,38.53,-121.78,1995,1995,org & conv 4,yes,annual,non-legume,comparable,no,NA,commercial,certified,comparable,yes,org multi-crop,similar,yes org,mix,yes,yes,more conv,yes,87.5,145,NA,NA,yes,NA,high,high,high,neutral,dataset,kg/ha,Fig. 3,9393.98,597.02,3,9165.65,447.75,3,-0.024606258,0.002141817,conv,data provided by author; but missing 1989-1993 used in Seufert,org,1,1,no,NA,NA
study10,Clark et al.,1999,"American Journal of Alternative Agriculture 14(3), 109-121","Crop-yield and economic comparisons of organic, low-input, and conventional farming systems in California's Sacramento valley","Sustainable Agriculture Farming Systems Project, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,164,tomato,fruit,medium,SAFS UC Davis; 1989-1996,Russell Ranch; near Davis; California,38.53,-121.78,1996,1996,org & conv 2,yes,annual,non-legume,comparable,no,NA,commercial,certified,comparable,yes,org multi-crop,more org,yes org,mix,yes,yes,more conv,yes,87.5,177.5,NA,NA,yes,NA,high,high,high,neutral,dataset,t/ha,Fig. 3,23.59,1.61,3,23.37,6.03,3,-0.009369745,0.023744628,conv 2,data provided by author; but missing 1989-1993 used in Seufert,org,1,,no,NA,NA
study10,Clark et al.,1999,"American Journal of Alternative Agriculture 14(3), 109-121","Crop-yield and economic comparisons of organic, low-input, and conventional farming systems in California's Sacramento valley","Sustainable Agriculture Farming Systems Project, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,162,tomato,fruit,medium,SAFS UC Davis; 1989-1996,Russell Ranch; near Davis; California,38.53,-121.78,1994,1994,org & conv 4,yes,annual,non-legume,comparable,no,NA,low input,certified,comparable,yes,both multi-crop,similar,both,mix,yes,yes,similar,yes,87.5,100,NA,NA,yes,NA,high,high,high,neutral,dataset,t/ha,Fig. 3,30.14,2.86,3,22.54,3.34,3,-0.290561685,0.010320607,low input,data provided by author; but missing 1989-1993 used in Seufert,org,1,,no,NA,NA
